Extrayendo histogramas segmentados para 9060 genomas...
INFO: [3030/9060] Segmented histograms extracted: 1352.9572
INFO: [3040/9060] Segmented histograms extracted: 1352.9582
INFO: [3050/9060] Segmented histograms extracted: 1352.9599
INFO: [3060/9060] Segmented histograms extracted: 1352.9607
INFO: [3070/9060] Segmented histograms extracted: 1352.9609
INFO: [3080/9060] Segmented histograms extracted: 1352.9612
INFO: [3090/9060] Segmented histograms extracted: 1352.9637
INFO: [3100/9060] Segmented histograms extracted: 1352.9639
INFO: [3110/9060] Segmented histograms extracted: 1352.9650
INFO: [3120/9060] Segmented histograms extracted: 1352.9667
INFO: [3130/9060] Segmented histograms extracted: 1352.9675
INFO: [3140/9060] Segmented histograms extracted: 1352.9690
INFO: [3150/9060] Segmented histograms extracted: 1352.9697
INFO: [3160/9060] Segmented histograms extracted: 1352.9701
INFO: [3170/9060] Segmented histograms extracted: 1352.9708
INFO: [3180/9060] Segmented histograms extracted: 1352.9724
INFO: [3190/9060] Segmented histograms extracted: 1352.9732
INFO: [3200/9060] Segmented histograms extracted: 1352.9734
INFO: [3210/9060] Segmented histograms extracted: 1352.9751
INFO: [3220/9060] Segmented histograms extracted: 1352.9761
INFO: [3230/9060] Segmented histograms extracted: 1352.9770
INFO: [3240/9060] Segmented histograms extracted: 1352.9765
INFO: [3250/9060] Segmented histograms extracted: 1352.9784
INFO: [3260/9060] Segmented histograms extracted: 1352.9806
INFO: [3270/9060] Segmented histograms extracted: 1352.9810
INFO: [3280/9060] Segmented histograms extracted: 1352.9828
INFO: [3290/9060] Segmented histograms extracted: 1352.9840
INFO: [3300/9060] Segmented histograms extracted: 1352.9839
INFO: [3310/9060] Segmented histograms extracted: 1352.9847
INFO: [3320/9060] Segmented histograms extracted: 1352.9853
INFO: [3330/9060] Segmented histograms extracted: 1352.9868
INFO: [3340/9060] Segmented histograms extracted: 1352.9877
INFO: [3350/9060] Segmented histograms extracted: 1352.9885
INFO: [3360/9060] Segmented histograms extracted: 1352.9910
INFO: [3370/9060] Segmented histograms extracted: 1352.9912
INFO: [3380/9060] Segmented histograms extracted: 1352.9917
INFO: [3390/9060] Segmented histograms extracted: 1352.9924
INFO: [3400/9060] Segmented histograms extracted: 1352.9943
INFO: [3410/9060] Segmented histograms extracted: 1352.9959
INFO: [3420/9060] Segmented histograms extracted: 1352.9935
INFO: [3430/9060] Segmented histograms extracted: 1352.9964
INFO: [3440/9060] Segmented histograms extracted: 1352.9977
INFO: [3450/9060] Segmented histograms extracted: 1352.9989
INFO: [3460/9060] Segmented histograms extracted: 287.1014
INFO: [3470/9060] Segmented histograms extracted: 287.1005
INFO: [3480/9060] Segmented histograms extracted: 287.1023
INFO: [3490/9060] Segmented histograms extracted: 287.1041
INFO: [3500/9060] Segmented histograms extracted: 287.1036
INFO: [3510/9060] Segmented histograms extracted: 287.1056
INFO: [3520/9060] Segmented histograms extracted: 287.1068
INFO: [3530/9060] Segmented histograms extracted: 287.1066
INFO: [3540/9060] Segmented histograms extracted: 287.1079
INFO: [3550/9060] Segmented histograms extracted: 287.1089
INFO: [3560/9060] Segmented histograms extracted: 287.1097
INFO: [3570/9060] Segmented histograms extracted: 287.1113
INFO: [3580/9060] Segmented histograms extracted: 287.1126
INFO: [3590/9060] Segmented histograms extracted: 287.1123
INFO: [3600/9060] Segmented histograms extracted: 287.1138
INFO: [3610/9060] Segmented histograms extracted: 287.1157
INFO: [3620/9060] Segmented histograms extracted: 287.1160
INFO: [3630/9060] Segmented histograms extracted: 287.1172
INFO: [3640/9060] Segmented histograms extracted: 287.1175
INFO: [3650/9060] Segmented histograms extracted: 287.1186
INFO: [3660/9060] Segmented histograms extracted: 287.1204
INFO: [3670/9060] Segmented histograms extracted: 287.1213
INFO: [3680/9060] Segmented histograms extracted: 287.1225
INFO: [3690/9060] Segmented histograms extracted: 287.1230
INFO: [3700/9060] Segmented histograms extracted: 287.1245
INFO: [3710/9060] Segmented histograms extracted: 287.1482
INFO: [3720/9060] Segmented histograms extracted: 287.5688
INFO: [3730/9060] Segmented histograms extracted: 287.5690
INFO: [3740/9060] Segmented histograms extracted: 287.6326
INFO: [3750/9060] Segmented histograms extracted: 287.6329
INFO: [3760/9060] Segmented histograms extracted: 287.7772
INFO: [3770/9060] Segmented histograms extracted: 287.7786
INFO: [3780/9060] Segmented histograms extracted: 287.7799
INFO: [3790/9060] Segmented histograms extracted: 287.7813
INFO: [3800/9060] Segmented histograms extracted: 287.7817
INFO: [3810/9060] Segmented histograms extracted: 287.7821
INFO: [3820/9060] Segmented histograms extracted: 287.7842
INFO: [3830/9060] Segmented histograms extracted: 287.7843
INFO: [3840/9060] Segmented histograms extracted: 287.7861
INFO: [3850/9060] Segmented histograms extracted: 287.849
INFO: [3860/9060] Segmented histograms extracted: 287.8516
INFO: [3870/9060] Segmented histograms extracted: 287.8522
INFO: [3880/9060] Segmented histograms extracted: 287.8533
INFO: [3890/9060] Segmented histograms extracted: 287.8542
INFO: [3900/9060] Segmented histograms extracted: 287.8541
INFO: [3910/9060] Segmented histograms extracted: 287.865
INFO: [3920/9060] Segmented histograms extracted: 287.876
INFO: [3930/9060] Segmented histograms extracted: 287.874
INFO: [3940/9060] Segmented histograms extracted: 287.887
INFO: [3950/9060] Segmented histograms extracted: 287.897
INFO: [3960/9060] Segmented histograms extracted: 287.915
INFO: [3970/9060] Segmented histograms extracted: 287.912
INFO: [3980/9060] Segmented histograms extracted: 287.922
INFO: [3990/9060] Segmented histograms extracted: 287.931
INFO: [4000/9060] Segmented histograms extracted: 287.957
INFO: [4010/9060] Segmented histograms extracted: 287.970
INFO: [4020/9060] Segmented histograms extracted: 287.988
INFO: [4030/9060] Segmented histograms extracted: 287.999
INFO: [4040/9060] Segmented histograms extracted: 287.997
INFO: [4050/9060] Segmented histograms extracted: 470.1555
INFO: [4060/9060] Segmented histograms extracted: 470.1564
INFO: [4070/9060] Segmented histograms extracted: 470.1563
INFO: [4080/9060] Segmented histograms extracted: 470.2426
INFO: [4090/9060] Segmented histograms extracted: 470.2166
INFO: [4100/9060] Segmented histograms extracted: 470.3767
INFO: [4110/9060] Segmented histograms extracted: 470.3765
INFO: [4120/9060] Segmented histograms extracted: 470.5040
INFO: [4130/9060] Segmented histograms extracted: 470.4901
INFO: [4140/9060] Segmented histograms extracted: 470.7343
INFO: [4150/9060] Segmented histograms extracted: 470.7364
INFO: [4160/9060] Segmented histograms extracted: 470.7374
INFO: [4170/9060] Segmented histograms extracted: 470.7377
INFO: [4180/9060] Segmented histograms extracted: 470.7384
INFO: [4190/9060] Segmented histograms extracted: 470.7393
INFO: [4200/9060] Segmented histograms extracted: 470.7404
INFO: [4210/9060] Segmented histograms extracted: 470.7411
INFO: [4220/9060] Segmented histograms extracted: 470.7424
INFO: [4230/9060] Segmented histograms extracted: 470.7439
INFO: [4240/9060] Segmented histograms extracted: 470.7451
INFO: [4250/9060] Segmented histograms extracted: 470.7462
INFO: [4260/9060] Segmented histograms extracted: 470.7463
INFO: [4270/9060] Segmented histograms extracted: 470.7475
INFO: [4280/9060] Segmented histograms extracted: 470.7488
INFO: [4290/9060] Segmented histograms extracted: 470.7496
INFO: [4300/9060] Segmented histograms extracted: 470.7500
INFO: [4310/9060] Segmented histograms extracted: 470.7521
INFO: [4320/9060] Segmented histograms extracted: 470.7538
INFO: [4330/9060] Segmented histograms extracted: 470.7532
INFO: [4340/9060] Segmented histograms extracted: 470.7542
INFO: [4350/9060] Segmented histograms extracted: 470.7553
INFO: [4360/9060] Segmented histograms extracted: 470.7573
INFO: [4370/9060] Segmented histograms extracted: 470.7588
INFO: [4380/9060] Segmented histograms extracted: 470.7586
INFO: [4390/9060] Segmented histograms extracted: 470.7593
INFO: [4400/9060] Segmented histograms extracted: 470.7614
INFO: [4410/9060] Segmented histograms extracted: 470.7613
INFO: [4420/9060] Segmented histograms extracted: 470.7624
INFO: [4430/9060] Segmented histograms extracted: 470.7647
INFO: [4440/9060] Segmented histograms extracted: 470.7658
INFO: [4450/9060] Segmented histograms extracted: 470.7655
INFO: [4460/9060] Segmented histograms extracted: 470.7661
INFO: [4470/9060] Segmented histograms extracted: 470.7675
INFO: [4480/9060] Segmented histograms extracted: 470.7684
INFO: [4490/9060] Segmented histograms extracted: 470.7699
INFO: [4500/9060] Segmented histograms extracted: 470.7703
INFO: [4510/9060] Segmented histograms extracted: 470.7727
INFO: [4520/9060] Segmented histograms extracted: 470.7735
INFO: [4530/9060] Segmented histograms extracted: 470.7733
INFO: [4540/9060] Segmented histograms extracted: 470.7745
INFO: [4550/9060] Segmented histograms extracted: 470.7764
INFO: [4560/9060] Segmented histograms extracted: 470.7770
INFO: [4570/9060] Segmented histograms extracted: 470.7790
INFO: [4580/9060] Segmented histograms extracted: 470.7781
INFO: [4590/9060] Segmented histograms extracted: 470.7795
INFO: [4600/9060] Segmented histograms extracted: 470.7816
INFO: [4610/9060] Segmented histograms extracted: 470.7815
INFO: [4620/9060] Segmented histograms extracted: 470.7820
INFO: [4630/9060] Segmented histograms extracted: 470.7842
INFO: [4640/9060] Segmented histograms extracted: 470.7855
INFO: [4650/9060] Segmented histograms extracted: 470.7852
INFO: [4660/9060] Segmented histograms extracted: 470.7862
INFO: [4670/9060] Segmented histograms extracted: 470.7885
INFO: [4680/9060] Segmented histograms extracted: 470.7898
INFO: [4690/9060] Segmented histograms extracted: 470.7899
INFO: [4700/9060] Segmented histograms extracted: 470.7900
INFO: [4710/9060] Segmented histograms extracted: 470.7918
INFO: [4720/9060] Segmented histograms extracted: 470.7932
INFO: [4730/9060] Segmented histograms extracted: 470.7938
INFO: [4740/9060] Segmented histograms extracted: 470.7948
INFO: [4750/9060] Segmented histograms extracted: 470.7951
INFO: [4760/9060] Segmented histograms extracted: 470.7969
INFO: [4770/9060] Segmented histograms extracted: 470.7982
INFO: [4780/9060] Segmented histograms extracted: 470.7989
INFO: [4790/9060] Segmented histograms extracted: 470.7993
INFO: [4800/9060] Segmented histograms extracted: 470.8000
INFO: [4810/9060] Segmented histograms extracted: 470.8024
INFO: [4820/9060] Segmented histograms extracted: 470.8023
INFO: [4830/9060] Segmented histograms extracted: 470.8031
INFO: [4840/9060] Segmented histograms extracted: 470.8050
INFO: [4850/9060] Segmented histograms extracted: 470.8058
